reference	metric_key	metric_label	model	paper_id	value
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	auto-relate	0.373689
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	axolotl	4.780765
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	divergent-thinking	3.455757
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	eff-approx-query	1.130605
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	exp-ranking	0.786437
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	fairRQ	1.932315
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	local-stab-ranking	1.224587
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	mm-mlp	0.367189
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	multi-agent-collab	1.076294
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	query-refine	0.643357
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	ranked-ret	1.954437
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	reg-ratio	0.940578
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	requal	1.804379
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	shapley	1.878358
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	synthesize-score	2.473521
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	uncertainty-LLM	3.674456
Sonnet-4.6	kl_divergence	KL	llama3.2:1b	unf-prms	0.913149
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	AFD	2.413952
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	AlgorithmicCollectiveAction	4.278755
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Corba-LLM	0.581517
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	DyLAN	1.576880
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Dynamic-role-MA-LLM	6.832148
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Dynamic_Necklace_Splitting	2.571643
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Efficient-MM-Algo	12.684125
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	FCM_SIGMOD_CRV	1.743962
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Fair-Prompt-LLM	1.427095
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	FairSetCover	1.869097
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Fair_Epsilon_Net	2.807429
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Fairness-Expo-Rankings	1.051157
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Fast-Monte-Carlo	1.899321
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	Gen-LLM	2.014717
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	HENN_ICLR_26-1	0.974452
Sonnet-4.6	kl_divergence	KL	llama3.2:3b	INFINI-GRAM-MINI	2.439962
