model	k	metric	mean	sem
phi3:medium	8	Hit@k	0.9600	0.0280
phi3:medium	8	nDCG@k	0.5434	0.0412
qwen2.5:3b	1	Overlap@k	0.3400	0.0677
qwen2.5:3b	1	Recall@k	0.3400	0.0677
qwen2.5:3b	1	Hit@k	0.3400	0.0677
qwen2.5:3b	1	nDCG@k	0.3400	0.0677
qwen2.5:3b	2	Overlap@k	0.9000	0.0958
qwen2.5:3b	2	Recall@k	0.4500	0.0479
qwen2.5:3b	2	Hit@k	0.7200	0.0641
qwen2.5:3b	2	nDCG@k	0.4521	0.0540
qwen2.5:3b	3	Overlap@k	1.3600	0.1170
qwen2.5:3b	3	Recall@k	0.4533	0.0390
qwen2.5:3b	3	Hit@k	0.8600	0.0496
qwen2.5:3b	3	nDCG@k	0.5231	0.0457
qwen2.5:3b	4	Overlap@k	1.8200	0.1583
qwen2.5:3b	4	Recall@k	0.4550	0.0396
qwen2.5:3b	4	Hit@k	0.8800	0.0464
qwen2.5:3b	4	nDCG@k	0.5459	0.0449
qwen2.5:3b	5	Overlap@k	2.3600	0.1635
qwen2.5:3b	5	Recall@k	0.4720	0.0327
qwen2.5:3b	5	Hit@k	0.9400	0.0339
qwen2.5:3b	5	nDCG@k	0.5677	0.0428
qwen2.5:3b	6	Overlap@k	2.8800	0.1799
qwen2.5:3b	6	Recall@k	0.4800	0.0300
qwen2.5:3b	6	Hit@k	0.9600	0.0280
qwen2.5:3b	6	nDCG@k	0.5781	0.0422
qwen2.5:3b	7	Overlap@k	3.6400	0.1890
qwen2.5:3b	7	Recall@k	0.5200	0.0270
qwen2.5:3b	7	Hit@k	1.0000	0.0000
qwen2.5:3b	7	nDCG@k	0.6029	0.0390
qwen2.5:3b	8	Overlap@k	4.2600	0.2191
qwen2.5:3b	8	Recall@k	0.5325	0.0274
qwen2.5:3b	8	Hit@k	1.0000	0.0000
qwen2.5:3b	8	nDCG@k	0.6145	0.0388
