metric_key	metric_label	model	paper_id	anchor_value	model_value	plotted_difference
kl_divergence	KL	llama3.2:1b	Fast-Monte-Carlo	2.192456	2.132574	-0.059882
kl_divergence	KL	llama3.2:1b	Gen-LLM	0.357241	0.727522	0.370281
kl_divergence	KL	llama3.2:1b	HENN_ICLR_26-1	0.373000	1.657449	1.284449
kl_divergence	KL	llama3.2:1b	INFINI-GRAM-MINI	0.677727	2.970492	2.292765
kl_divergence	KL	llama3.2:1b	Interactive-Learning	1.035402	0.980317	-0.055085
kl_divergence	KL	llama3.2:1b	LLM-Blender	0.280858	0.570514	0.289656
kl_divergence	KL	llama3.2:1b	LSH-Curves	1.246105	1.540839	0.294734
kl_divergence	KL	llama3.2:1b	MA-LLM-Debias	0.850143	0.431852	-0.418291
kl_divergence	KL	llama3.2:1b	MA-LLM-Judge	0.690034	1.396953	0.706919
kl_divergence	KL	llama3.2:1b	MA-LLM-attack	0.318217	0.573910	0.255693
kl_divergence	KL	llama3.2:1b	Minoria	1.128366	1.521568	0.393202
kl_divergence	KL	llama3.2:1b	MoA	0.580270	0.671131	0.090861
kl_divergence	KL	llama3.2:1b	Native-Sparse-Attention	3.622281	7.385205	3.762924
kl_divergence	KL	llama3.2:1b	QR	0.858967	0.568283	-0.290684
kl_divergence	KL	llama3.2:1b	RRR	0.886873	1.551747	0.664874
kl_divergence	KL	llama3.2:1b	RSR-Core	0.173938	0.777769	0.603831
kl_divergence	KL	llama3.2:1b	Random_access_Retrieval-5	0.721678	2.543232	1.821554
kl_divergence	KL	llama3.2:1b	Rankit-Askit	0.728295	2.438387	1.710091
kl_divergence	KL	llama3.2:1b	Reg-Min-Rep	0.483147	0.571883	0.088736
kl_divergence	KL	llama3.2:1b	Trojan-LLM	3.025131	2.958015	-0.067116
kl_divergence	KL	llama3.2:1b	adv_res_paper	0.789675	2.035952	1.246277
kl_divergence	KL	llama3.2:1b	auto-relate	0.584841	0.373689	-0.211153
kl_divergence	KL	llama3.2:1b	axolotl	0.475805	4.780765	4.304960
kl_divergence	KL	llama3.2:1b	divergent-thinking	5.259591	3.455757	-1.803834
kl_divergence	KL	llama3.2:1b	eff-approx-query	0.511388	1.130605	0.619217
kl_divergence	KL	llama3.2:1b	exp-ranking	0.585458	0.786437	0.200979
kl_divergence	KL	llama3.2:1b	fairRQ	0.725360	1.932315	1.206955
kl_divergence	KL	llama3.2:1b	local-stab-ranking	0.554304	1.224587	0.670283
kl_divergence	KL	llama3.2:1b	mm-mlp	0.343839	0.367189	0.023350
kl_divergence	KL	llama3.2:1b	multi-agent-collab	0.827290	1.076294	0.249004
kl_divergence	KL	llama3.2:1b	query-refine	1.588387	0.643357	-0.945030
kl_divergence	KL	llama3.2:1b	ranked-ret	0.698652	1.954437	1.255785
kl_divergence	KL	llama3.2:1b	reg-ratio	0.309675	0.940578	0.630903
kl_divergence	KL	llama3.2:1b	requal	0.192478	1.804379	1.611901
kl_divergence	KL	llama3.2:1b	shapley	0.435028	1.878358	1.443330
kl_divergence	KL	llama3.2:1b	synthesize-score	2.489691	2.473521	-0.016170
kl_divergence	KL	llama3.2:1b	uncertainty-LLM	1.271195	3.674456	2.403261
kl_divergence	KL	llama3.2:1b	unf-prms	0.477641	0.913149	0.435508
kl_divergence	KL	llama3.2:3b	AFD	0.667720	2.413952	1.746232
kl_divergence	KL	llama3.2:3b	AlgorithmicCollectiveAction	1.073621	4.278755	3.205134
kl_divergence	KL	llama3.2:3b	Corba-LLM	0.359839	0.581517	0.221678
kl_divergence	KL	llama3.2:3b	DyLAN	0.391522	1.576880	1.185358
kl_divergence	KL	llama3.2:3b	Dynamic-role-MA-LLM	6.758754	6.832148	0.073394
kl_divergence	KL	llama3.2:3b	Dynamic_Necklace_Splitting	2.010115	2.571643	0.561528
kl_divergence	KL	llama3.2:3b	Efficient-MM-Algo	12.922940	12.684125	-0.238815
kl_divergence	KL	llama3.2:3b	FCM_SIGMOD_CRV	1.075480	1.743962	0.668482
kl_divergence	KL	llama3.2:3b	Fair-Prompt-LLM	1.301805	1.427095	0.125290
kl_divergence	KL	llama3.2:3b	FairSetCover	0.931124	1.869097	0.937973
kl_divergence	KL	llama3.2:3b	Fair_Epsilon_Net	0.843227	2.807429	1.964202
kl_divergence	KL	llama3.2:3b	Fairness-Expo-Rankings	1.050558	1.051157	0.000599
kl_divergence	KL	llama3.2:3b	Fast-Monte-Carlo	2.192456	1.899321	-0.293136
kl_divergence	KL	llama3.2:3b	Gen-LLM	0.357241	2.014717	1.657475
kl_divergence	KL	llama3.2:3b	HENN_ICLR_26-1	0.373000	0.974452	0.601452
kl_divergence	KL	llama3.2:3b	INFINI-GRAM-MINI	0.677727	2.439962	1.762235
kl_divergence	KL	llama3.2:3b	Interactive-Learning	1.035402	0.852359	-0.183043
kl_divergence	KL	llama3.2:3b	LLM-Blender	0.280858	4.701314	4.420456
kl_divergence	KL	llama3.2:3b	LSH-Curves	1.246105	2.384135	1.138030
kl_divergence	KL	llama3.2:3b	MA-LLM-Debias	0.850143	1.312144	0.462001
kl_divergence	KL	llama3.2:3b	MA-LLM-Judge	0.690034	1.101811	0.411777
kl_divergence	KL	llama3.2:3b	MA-LLM-attack	0.318217	1.706478	1.388261
kl_divergence	KL	llama3.2:3b	Minoria	1.128366	1.035669	-0.092697
kl_divergence	KL	llama3.2:3b	MoA	0.580270	3.136035	2.555765
kl_divergence	KL	llama3.2:3b	Native-Sparse-Attention	3.622281	5.698565	2.076284
kl_divergence	KL	llama3.2:3b	QR	0.858967	2.456999	1.598032
kl_divergence	KL	llama3.2:3b	RRR	0.886873	3.473610	2.586737
kl_divergence	KL	llama3.2:3b	RSR-Core	0.173938	1.474637	1.300700
kl_divergence	KL	llama3.2:3b	Random_access_Retrieval-5	0.721678	2.294862	1.573185
kl_divergence	KL	llama3.2:3b	Rankit-Askit	0.728295	1.871940	1.143644
kl_divergence	KL	llama3.2:3b	Reg-Min-Rep	0.483147	1.177381	0.694234
kl_divergence	KL	llama3.2:3b	Trojan-LLM	3.025131	3.165538	0.140407
kl_divergence	KL	llama3.2:3b	adv_res_paper	0.789675	1.358441	0.568766
kl_divergence	KL	llama3.2:3b	auto-relate	0.584841	0.596991	0.012149
kl_divergence	KL	llama3.2:3b	axolotl	0.475805	2.379573	1.903768
kl_divergence	KL	llama3.2:3b	divergent-thinking	5.259591	4.511438	-0.748154
kl_divergence	KL	llama3.2:3b	eff-approx-query	0.511388	1.601101	1.089713
kl_divergence	KL	llama3.2:3b	exp-ranking	0.585458	2.306767	1.721309
kl_divergence	KL	llama3.2:3b	fairRQ	0.725360	2.200671	1.475311
kl_divergence	KL	llama3.2:3b	local-stab-ranking	0.554304	0.957748	0.403444
kl_divergence	KL	llama3.2:3b	mm-mlp	0.343839	0.709422	0.365583
kl_divergence	KL	llama3.2:3b	multi-agent-collab	0.827290	1.644659	0.817369
kl_divergence	KL	llama3.2:3b	query-refine	1.588387	1.079720	-0.508668
kl_divergence	KL	llama3.2:3b	ranked-ret	0.698652	1.063418	0.364766
kl_divergence	KL	llama3.2:3b	reg-ratio	0.309675	0.481683	0.172008
kl_divergence	KL	llama3.2:3b	requal	0.192478	1.807246	1.614767
kl_divergence	KL	llama3.2:3b	shapley	0.435028	0.623418	0.188390
kl_divergence	KL	llama3.2:3b	synthesize-score	2.489691	2.651785	0.162094
kl_divergence	KL	llama3.2:3b	uncertainty-LLM	1.271195	2.230085	0.958890
kl_divergence	KL	llama3.2:3b	unf-prms	0.477641	0.728027	0.250386
kl_divergence	KL	qwen2.5:3b	AFD	0.667720	0.828729	0.161009
kl_divergence	KL	qwen2.5:3b	AlgorithmicCollectiveAction	1.073621	9.900230	8.826609
kl_divergence	KL	qwen2.5:3b	Corba-LLM	0.359839	0.430570	0.070730
kl_divergence	KL	qwen2.5:3b	DyLAN	0.391522	0.997444	0.605922
kl_divergence	KL	qwen2.5:3b	Dynamic-role-MA-LLM	6.758754	7.367872	0.609118
kl_divergence	KL	qwen2.5:3b	Dynamic_Necklace_Splitting	2.010115	2.680532	0.670417
kl_divergence	KL	qwen2.5:3b	Efficient-MM-Algo	12.922940	12.436197	-0.486743
kl_divergence	KL	qwen2.5:3b	FCM_SIGMOD_CRV	1.075480	3.706781	2.631301
kl_divergence	KL	qwen2.5:3b	Fair-Prompt-LLM	1.301805	1.148842	-0.152963
kl_divergence	KL	qwen2.5:3b	FairSetCover	0.931124	1.022459	0.091335
kl_divergence	KL	qwen2.5:3b	Fair_Epsilon_Net	0.843227	1.828432	0.985205
kl_divergence	KL	qwen2.5:3b	Fairness-Expo-Rankings	1.050558	2.262551	1.211993
kl_divergence	KL	qwen2.5:3b	Fast-Monte-Carlo	2.192456	2.107613	-0.084843
kl_divergence	KL	qwen2.5:3b	Gen-LLM	0.357241	2.666842	2.309600
kl_divergence	KL	qwen2.5:3b	HENN_ICLR_26-1	0.373000	0.789709	0.416709
kl_divergence	KL	qwen2.5:3b	INFINI-GRAM-MINI	0.677727	0.657968	-0.019759
kl_divergence	KL	qwen2.5:3b	Interactive-Learning	1.035402	0.443957	-0.591445
kl_divergence	KL	qwen2.5:3b	LLM-Blender	0.280858	1.721051	1.440193
kl_divergence	KL	qwen2.5:3b	LSH-Curves	1.246105	1.951183	0.705078
kl_divergence	KL	qwen2.5:3b	MA-LLM-Debias	0.850143	0.189272	-0.660871
kl_divergence	KL	qwen2.5:3b	MA-LLM-Judge	0.690034	0.709256	0.019222
kl_divergence	KL	qwen2.5:3b	MA-LLM-attack	0.318217	0.399704	0.081487
kl_divergence	KL	qwen2.5:3b	Minoria	1.128366	1.048478	-0.079888
kl_divergence	KL	qwen2.5:3b	MoA	0.580270	1.465438	0.885169
kl_divergence	KL	qwen2.5:3b	Native-Sparse-Attention	3.622281	6.533354	2.911073
kl_divergence	KL	qwen2.5:3b	QR	0.858967	0.728979	-0.129988
kl_divergence	KL	qwen2.5:3b	RRR	0.886873	0.907838	0.020965
kl_divergence	KL	qwen2.5:3b	RSR-Core	0.173938	0.715266	0.541329
kl_divergence	KL	qwen2.5:3b	Random_access_Retrieval-5	0.721678	1.025778	0.304100
kl_divergence	KL	qwen2.5:3b	Rankit-Askit	0.728295	1.551310	0.823015
kl_divergence	KL	qwen2.5:3b	Reg-Min-Rep	0.483147	1.440837	0.957690
kl_divergence	KL	qwen2.5:3b	Trojan-LLM	3.025131	3.021456	-0.003675
kl_divergence	KL	qwen2.5:3b	adv_res_paper	0.789675	1.418844	0.629169
kl_divergence	KL	qwen2.5:3b	auto-relate	0.584841	0.720738	0.135897
kl_divergence	KL	qwen2.5:3b	axolotl	0.475805	1.147030	0.671226
kl_divergence	KL	qwen2.5:3b	divergent-thinking	5.259591	3.740877	-1.518715
kl_divergence	KL	qwen2.5:3b	eff-approx-query	0.511388	0.609217	0.097829
kl_divergence	KL	qwen2.5:3b	exp-ranking	0.585458	1.324706	0.739249
kl_divergence	KL	qwen2.5:3b	fairRQ	0.725360	2.184764	1.459404
kl_divergence	KL	qwen2.5:3b	local-stab-ranking	0.554304	0.618945	0.064641
kl_divergence	KL	qwen2.5:3b	mm-mlp	0.343839	1.504784	1.160945
kl_divergence	KL	qwen2.5:3b	multi-agent-collab	0.827290	1.184433	0.357143
kl_divergence	KL	qwen2.5:3b	query-refine	1.588387	0.598913	-0.989474
kl_divergence	KL	qwen2.5:3b	ranked-ret	0.698652	0.563706	-0.134946
kl_divergence	KL	qwen2.5:3b	reg-ratio	0.309675	0.325715	0.016041
kl_divergence	KL	qwen2.5:3b	requal	0.192478	0.706602	0.514124
kl_divergence	KL	qwen2.5:3b	shapley	0.435028	1.079388	0.644360
kl_divergence	KL	qwen2.5:3b	synthesize-score	2.489691	2.428030	-0.061661
kl_divergence	KL	qwen2.5:3b	uncertainty-LLM	1.271195	1.834290	0.563095
kl_divergence	KL	qwen2.5:3b	unf-prms	0.477641	0.755808	0.278167
kl_divergence	KL	qwen3:4b	AFD	0.667720	1.141821	0.474101
kl_divergence	KL	qwen3:4b	AlgorithmicCollectiveAction	1.073621	9.113428	8.039807
kl_divergence	KL	qwen3:4b	Corba-LLM	0.359839	0.458500	0.098661
kl_divergence	KL	qwen3:4b	DyLAN	0.391522	0.628765	0.237243
kl_divergence	KL	qwen3:4b	Dynamic-role-MA-LLM	6.758754	6.842046	0.083291
kl_divergence	KL	qwen3:4b	Dynamic_Necklace_Splitting	2.010115	2.490395	0.480280
kl_divergence	KL	qwen3:4b	Efficient-MM-Algo	12.922940	12.517064	-0.405877
kl_divergence	KL	qwen3:4b	FCM_SIGMOD_CRV	1.075480	0.758010	-0.317471
kl_divergence	KL	qwen3:4b	Fair-Prompt-LLM	1.301805	1.588112	0.286308
kl_divergence	KL	qwen3:4b	FairSetCover	0.931124	0.714172	-0.216952
kl_divergence	KL	qwen3:4b	Fair_Epsilon_Net	0.843227	2.461185	1.617958
kl_divergence	KL	qwen3:4b	Fairness-Expo-Rankings	1.050558	1.157230	0.106672
kl_divergence	KL	qwen3:4b	Fast-Monte-Carlo	2.192456	1.526415	-0.666042
kl_divergence	KL	qwen3:4b	Gen-LLM	0.357241	0.407743	0.050502
kl_divergence	KL	qwen3:4b	HENN_ICLR_26-1	0.373000	1.889217	1.516217
kl_divergence	KL	qwen3:4b	INFINI-GRAM-MINI	0.677727	0.138636	-0.539091
kl_divergence	KL	qwen3:4b	Interactive-Learning	1.035402	0.846710	-0.188693
kl_divergence	KL	qwen3:4b	LLM-Blender	0.280858	1.408153	1.127295
kl_divergence	KL	qwen3:4b	LSH-Curves	1.246105	1.511476	0.265371
kl_divergence	KL	qwen3:4b	MA-LLM-Debias	0.850143	0.476064	-0.374079
kl_divergence	KL	qwen3:4b	MA-LLM-Judge	0.690034	1.323601	0.633567
kl_divergence	KL	qwen3:4b	MA-LLM-attack	0.318217	0.285005	-0.033212
kl_divergence	KL	qwen3:4b	Minoria	1.128366	0.491943	-0.636423
kl_divergence	KL	qwen3:4b	MoA	0.580270	0.439242	-0.141028
kl_divergence	KL	qwen3:4b	Native-Sparse-Attention	3.622281	2.412870	-1.209411
kl_divergence	KL	qwen3:4b	QR	0.858967	0.622629	-0.236338
kl_divergence	KL	qwen3:4b	RRR	0.886873	0.441618	-0.445256
kl_divergence	KL	qwen3:4b	RSR-Core	0.173938	1.222698	1.048761
kl_divergence	KL	qwen3:4b	Random_access_Retrieval-5	0.721678	0.421727	-0.299951
kl_divergence	KL	qwen3:4b	Rankit-Askit	0.728295	1.952412	1.224116
kl_divergence	KL	qwen3:4b	Reg-Min-Rep	0.483147	1.568559	1.085412
kl_divergence	KL	qwen3:4b	Trojan-LLM	3.025131	2.958679	-0.066452
kl_divergence	KL	qwen3:4b	adv_res_paper	0.789675	0.976442	0.186767
kl_divergence	KL	qwen3:4b	auto-relate	0.584841	0.407049	-0.177793
kl_divergence	KL	qwen3:4b	axolotl	0.475805	1.297981	0.822176
kl_divergence	KL	qwen3:4b	divergent-thinking	5.259591	3.554566	-1.705025
kl_divergence	KL	qwen3:4b	eff-approx-query	0.511388	0.591202	0.079814
kl_divergence	KL	qwen3:4b	exp-ranking	0.585458	2.572269	1.986811
kl_divergence	KL	qwen3:4b	fairRQ	0.725360	0.224575	-0.500784
kl_divergence	KL	qwen3:4b	local-stab-ranking	0.554304	1.100247	0.545943
kl_divergence	KL	qwen3:4b	mm-mlp	0.343839	0.556038	0.212199
kl_divergence	KL	qwen3:4b	multi-agent-collab	0.827290	0.633658	-0.193632
kl_divergence	KL	qwen3:4b	query-refine	1.588387	2.171686	0.583299
kl_divergence	KL	qwen3:4b	ranked-ret	0.698652	0.508662	-0.189991
kl_divergence	KL	qwen3:4b	reg-ratio	0.309675	0.192058	-0.117617
kl_divergence	KL	qwen3:4b	requal	0.192478	2.219475	2.026997
