metric_key	metric_label	model	sort_rank	is_baseline	primary_reference	primary_mean	primary_ci_low	primary_ci_high	secondary_reference	secondary_mean	secondary_ci_low	secondary_ci_high	papers_evaluated
jensen_shannon_divergence	JSD	Length-wtd. freq.	10	yes	Sonnet-4.6	0.239305	0.202885	0.278586	gpt-oss-120b	0.260762	0.223079	0.301369	50
spearman	Spearman $\rho$	qwen3:1.7b	1	no	Sonnet-4.6	0.490106	0.432707	0.541839	gpt-oss-120b	0.456007	0.389990	0.517710	50
spearman	Spearman $\rho$	qwen2.5:3b	2	no	Sonnet-4.6	0.401201	0.336785	0.462623	gpt-oss-120b	0.418913	0.359779	0.473523	50
spearman	Spearman $\rho$	qwen3:4b	3	no	Sonnet-4.6	0.396830	0.325578	0.465518	gpt-oss-120b	0.423740	0.356670	0.489465	50
spearman	Spearman $\rho$	Length-wtd. freq.	4	yes	Sonnet-4.6	0.387972	0.312442	0.459293	gpt-oss-120b	0.301332	0.214022	0.380221	50
spearman	Spearman $\rho$	phi3:medium	5	no	Sonnet-4.6	0.376776	0.314518	0.436820	gpt-oss-120b	0.395061	0.335828	0.451149	50
spearman	Spearman $\rho$	Citation freq.	6	yes	Sonnet-4.6	0.375206	0.303337	0.443279	gpt-oss-120b	0.300117	0.223161	0.375876	50
spearman	Spearman $\rho$	llama3.2:3b	7	no	Sonnet-4.6	0.370624	0.303082	0.433464	gpt-oss-120b	0.345717	0.287780	0.401482	50
spearman	Spearman $\rho$	gemma2:2b	8	no	Sonnet-4.6	0.367260	0.309192	0.422406	gpt-oss-120b	0.385031	0.324414	0.444527	50
spearman	Spearman $\rho$	llama3.2:1b	9	no	Sonnet-4.6	0.345424	0.273142	0.414176	gpt-oss-120b	0.349037	0.283151	0.413618	50
spearman	Spearman $\rho$	gemma3:4b	10	no	Sonnet-4.6	0.321569	0.250225	0.390263	gpt-oss-120b	0.307430	0.246228	0.365420	50
top_k_overlap_fraction	Top-4 Overlap	qwen3:1.7b	1	no	Sonnet-4.6	0.470000	0.400000	0.540000	gpt-oss-120b	0.470000	0.395000	0.545000	50
top_k_overlap_fraction	Top-4 Overlap	qwen2.5:3b	2	no	Sonnet-4.6	0.455000	0.380000	0.530000	gpt-oss-120b	0.470000	0.405000	0.535000	50
top_k_overlap_fraction	Top-4 Overlap	Length-wtd. freq.	3	yes	Sonnet-4.6	0.436667	0.365000	0.508333	gpt-oss-120b	0.426667	0.365000	0.491667	50
top_k_overlap_fraction	Top-4 Overlap	Citation freq.	4	yes	Sonnet-4.6	0.426667	0.360000	0.495000	gpt-oss-120b	0.471667	0.396667	0.546667	50
top_k_overlap_fraction	Top-4 Overlap	llama3.2:1b	5	no	Sonnet-4.6	0.425000	0.355000	0.495000	gpt-oss-120b	0.475000	0.410000	0.545000	50
top_k_overlap_fraction	Top-4 Overlap	qwen3:4b	6	no	Sonnet-4.6	0.425000	0.365000	0.490000	gpt-oss-120b	0.460000	0.390000	0.535000	50
top_k_overlap_fraction	Top-4 Overlap	gemma2:2b	7	no	Sonnet-4.6	0.400000	0.340000	0.465000	gpt-oss-120b	0.435000	0.365000	0.500000	50
top_k_overlap_fraction	Top-4 Overlap	phi3:medium	8	no	Sonnet-4.6	0.390000	0.320000	0.460000	gpt-oss-120b	0.450000	0.375000	0.525000	50
top_k_overlap_fraction	Top-4 Overlap	gemma3:4b	9	no	Sonnet-4.6	0.365000	0.295000	0.440000	gpt-oss-120b	0.375000	0.300000	0.455000	50
top_k_overlap_fraction	Top-4 Overlap	llama3.2:3b	10	no	Sonnet-4.6	0.345000	0.275000	0.415000	gpt-oss-120b	0.395000	0.325000	0.465000	50
